City Name,County Name, Total Revenue , Local Revenue ,% Local Revenue, Total Revenue per capita , Total Population ,Total Pop. MOE,,,,,,,
Avalon,Los Angeles," 16,229,819 "," 15,333,753 ",97.82," 4,398 "," 3,690 ",20,,,,,,,
Azusa,Los Angeles," 101,832,239 "," 98,569,535 ",96.90," 2,205 "," 46,177 ",45,,,,,,,
Baldwin Park,Los Angeles," 46,039,331 "," 30,228,391 ",68.05, 610 ," 75,441 ",71,,,,,,,
Bell,Los Angeles," 23,651,076 "," 20,125,469 ",90.71, 664 ," 35,602 ",30,,,,,,,
Bell Gardens,Los Angeles," 35,507,141 "," 32,186,206 ",90.65, 840 ," 42,294 ",47,,,,,,,
Bellflower,Los Angeles," 34,817,232 "," 28,004,461 ",80.43, 457 ," 76,243 ",69,,,,,,,
Beverly Hills,Los Angeles," 264,514,752 "," 261,548,782 ",98.88," 7,770 "," 34,042 ",34,,,,,,,
Bradbury,Los Angeles," 1,276,231 "," 831,040 ",65.12," 1,369 ", 932 ,130,,,,,,,
Burbank,Los Angeles," 539,530,452 "," 518,695,052 ",96.16," 5,236 "," 103,037 ",51,,,,,,,
Calabasas,Los Angeles," 40,506,825 "," 30,371,969 ",74.98," 1,774 "," 22,839 ",63,,,,,,,
Carson,Los Angeles," 79,909,823 "," 70,211,858 ",88.22, 873 ," 91,508 ",60,,,,,,,
Cerritos,Los Angeles," 81,513,080 "," 78,363,777 ",96.14," 1,654 "," 49,281 ",39,,,,,,,
Claremont,Los Angeles," 38,576,622 "," 31,979,970 ",83.52," 1,108 "," 34,824 ",40,,,,,,,
Commerce,Los Angeles," 51,763,993 "," 49,792,823 ",96.23," 4,047 "," 12,791 ",21,,,,,,,
Compton,Los Angeles," 125,531,683 "," 99,307,212 ",79.76," 1,306 "," 96,102 ",49,,,,,,,
Covina,Los Angeles," 49,024,704 "," 44,346,637 ",92.02," 1,029 "," 47,662 ",50,,,,,,,
Cudahy,Los Angeles," 7,820,862 "," 6,367,262 ",81.41, 328 ," 23,846 ",19,,,,,,,
Culver City,Los Angeles," 263,595,171 "," 249,289,157 ",95.53," 6,776 "," 38,899 ",86,,,,,,,
Diamond Bar,Los Angeles," 25,183,987 "," 21,920,257 ",88.15, 452 ," 55,668 ",45,,,,,,,
Downey,Los Angeles," 93,823,777 "," 82,683,287 ",88.13, 843 ," 111,329 ",67,,,,,,,
Duarte,Los Angeles," 17,720,611 "," 14,687,920 ",86.09, 830 ," 21,363 ",37,,,,,,,
El Monte,Los Angeles," 83,316,686 "," 71,674,116 ",86.03, 732 ," 113,763 ",59,,,,,,,
El Segundo,Los Angeles," 83,811,834 "," 80,464,401 ",96.23," 5,050 "," 16,597 ",37,,,,,,,
Gardena,Los Angeles," 74,022,198 "," 62,408,205 ",85.21," 1,260 "," 58,743 ",47,,,,,,,
Glendale,Los Angeles," 558,807,946 "," 502,471,154 ",90.15," 2,909 "," 192,069 ",55,,,,,,,
Glendora,Los Angeles," 47,407,353 "," 39,940,819 ",84.25, 948 ," 50,000 ",46,,,,,,,
Hawaiian Gardens,Los Angeles," 19,653,963 "," 16,511,270 ",84.69," 1,374 "," 14,309 ",28,,,,,,,
Hawthorne,Los Angeles,<Null>,<Null>,<Null>, <Null> ," 84,293 ",70,,,,,,,
Hermosa Beach,Los Angeles," 32,261,489 "," 30,495,983 ",94.59," 1,661 "," 19,422 ",23,,,,,,,
Hidden Hills,Los Angeles," 1,941,845 "," 1,543,014 ",79.46, 819 ," 2,370 ",319,,,,,,,
Huntington Park,Los Angeles," 54,524,513 "," 45,988,917 ",84.35, 933 ," 58,465 ",65,,,,,,,
Industry,Los Angeles," 106,506,661 "," 106,363,400 ",99.87," 205,611 ", 518 ,249,,,,,,,
Inglewood,Los Angeles," 156,554,029 "," 115,669,471 ",75.58," 1,424 "," 109,967 ",78,,,,,,,
Irwindale,Los Angeles," 21,818,335 "," 21,441,384 ",98.36," 14,307 "," 1,525 ",143,,,,,,,
La Canada Flintridge,Los Angeles," 19,274,534 "," 16,509,517 ",85.65, 952 ," 20,248 ",41,,,,,,,
La Habra Heights,Los Angeles," 6,437,793 "," 4,213,991 ",68.74," 1,214 "," 5,304 ",24,,,,,,,
La Mirada,Los Angeles," 39,945,387 "," 35,737,685 ",89.51, 826 ," 48,363 ",52,,,,,,,
La Puente,Los Angeles," 15,987,047 "," 12,467,094 ",78.59, 400 ," 39,957 ",66,,,,,,,
La Verne,Los Angeles," 45,075,239 "," 42,528,067 ",94.82," 1,448 "," 31,139 ",47,,,,,,,
Lakewood,Los Angeles," 62,517,354 "," 54,434,798 ",87.07, 782 ," 79,994 ",79,,,,,,,
Lancaster,Los Angeles," 87,606,947 "," 67,873,159 ",77.50, 574 ," 152,678 ",86,,,,,,,
Lawndale,Los Angeles," 15,816,026 "," 12,392,852 ",78.36, 484 ," 32,652 ",48,,,,,,,
Lomita,Los Angeles," 13,917,348 "," 12,199,014 ",91.53, 687 ," 20,246 ",47,,,,,,,
Long Beach,Los Angeles," 2,146,060,801 "," 1,934,544,048 ",90.42," 4,643 "," 462,197 ",82,,,,,,,
Los Angeles,Los Angeles," 15,350,476,263 "," 14,542,068,757 ",94.83," 4,058 "," 3,782,544 ",118,,,,,,,
Lynwood,Los Angeles," 64,166,617 "," 54,862,596 ",86.72, 919 ," 69,818 ",41,,,,,,,
Malibu,Los Angeles," 30,181,942 "," 27,507,232 ",99.24," 2,368 "," 12,746 ",23,,,,,,,
Manhattan Beach,Los Angeles," 76,354,237 "," 74,431,695 ",97.48," 2,182 "," 34,986 ",49,,,,,,,
Maywood,Los Angeles," 8,694,703 "," 7,494,261 ",86.19, 317 ," 27,454 ",54,,,,,,,
Monrovia,Los Angeles," 64,735,580 "," 53,412,894 ",85.28," 1,768 "," 36,622 ",46,,,,,,,
Montebello,Los Angeles," 101,408,072 "," 82,916,357 ",81.87," 1,623 "," 62,470 ",58,,,,,,,
Monterey Park,Los Angeles," 65,868,054 "," 57,346,535 ",87.99," 1,093 "," 60,251 ",60,,,,,,,
Norwalk,Los Angeles," 88,156,296 "," 61,947,500 ",70.52, 837 ," 105,348 ",63,,,,,,,
Palmdale,Los Angeles," 95,752,345 "," 72,249,614 ",76.78, 643 ," 149,001 ",54,,,,,,,
Palos Verdes Estates,Los Angeles," 17,222,586 "," 16,299,416 ",94.92," 1,284 "," 13,412 ",39,,,,,,,
Paramount,Los Angeles," 40,492,021 "," 31,504,416 ",77.81, 747 ," 54,196 ",59,,,,,,,
Pasadena,Los Angeles," 796,458,610 "," 754,618,000 ",95.18," 5,822 "," 136,807 ",85,,,,,,,
Pico Rivera,Los Angeles," 51,532,057 "," 35,062,512 ",69.80, 818 ," 63,004 ",57,,,,,,,
Pomona,Los Angeles," 170,180,435 "," 132,136,818 ",78.07," 1,143 "," 148,946 ",71,,,,,,,
Rancho Palos Verdes,Los Angeles," 28,734,974 "," 26,927,663 ",93.77, 691 ," 41,575 ",71,,,,,,,
Redondo Beach,Los Angeles," 102,771,756 "," 95,063,904 ",92.63," 1,548 "," 66,397 ",60,,,,,,,
Rolling Hills,Los Angeles," 2,480,456 "," 2,346,054 ",94.58," 1,386 "," 1,790 ",148,,,,,,,
Rolling Hills Estates,Los Angeles," 8,555,542 "," 6,961,119 ",86.52," 1,064 "," 8,040 ",29,,,,,,,
Rosemead,Los Angeles," 22,765,917 "," 18,581,879 ",81.62, 424 ," 53,725 ",57,,,,,,,
San Dimas,Los Angeles," 31,353,243 "," 28,312,003 ",90.30, 935 ," 33,523 ",41,,,,,,,
San Fernando,Los Angeles," 31,633,523 "," 27,098,571 ",85.66," 1,338 "," 23,638 ",32,,,,,,,
San Gabriel,Los Angeles," 37,248,465 "," 33,605,171 ",90.22, 938 ," 39,703 ",47,,,,,,,
San Marino,Los Angeles," 28,507,548 "," 26,912,591 ",94.59," 2,171 "," 13,131 ",28,,,,,,,
Santa Clarita,Los Angeles," 163,066,209 "," 140,433,031 ",87.03, 937 ," 173,993 ",87,,,,,,,
Santa Fe Springs,Los Angeles," 56,079,250 "," 50,718,703 ",92.69," 3,433 "," 16,333 ",37,,,,,,,
Santa Monica,Los Angeles," 490,835,215 "," 430,613,982 ",87.73," 5,506 "," 89,153 ",37,,,,,,,
Sierra Madre,Los Angeles," 14,637,743 "," 13,815,825 ",96.24," 1,345 "," 10,881 ",27,,,,,,,
Signal Hill,Los Angeles," 23,202,149 "," 21,914,085 ",97.12," 2,140 "," 10,842 ",26,,,,,,,
South El Monte,Los Angeles," 13,338,872 "," 10,731,793 ",83.90, 660 ," 20,197 ",43,,,,,,,
South Gate,Los Angeles," 76,800,855 "," 58,233,930 ",76.73, 812 ," 94,586 ",53,,,,,,,
South Pasadena,Los Angeles," 31,646,565 "," 29,776,597 ",94.09," 1,243 "," 25,465 ",66,,,,,,,
Temple City,Los Angeles," 15,408,951 "," 13,558,973 ",87.99, 436 ," 35,372 ",46,,,,,,,
Torrance,Los Angeles," 261,162,336 "," 244,941,852 ",93.80," 1,806 "," 144,622 ",46,,,,,,,
Vernon,Los Angeles," 211,353,823 "," 209,791,696 ",99.26," 3,302,403 ", 64 ,38,,,,,,,
Walnut,Los Angeles," 16,647,015 "," 14,701,986 ",88.32, 569 ," 29,269 ",46,,,,,,,
West Covina,Los Angeles," 68,877,847 "," 61,259,207 ",89.65, 651 ," 105,810 ",61,,,,,,,
West Hollywood,Los Angeles," 88,887,107 "," 81,188,424 ",94.30," 2,572 "," 34,564 ",31,,,,,,,
Westlake Village,Los Angeles," 13,983,874 "," 13,060,338 ",94.89," 1,690 "," 8,276 ",27,,,,,,,
Whittier,Los Angeles," 60,906,150 "," 52,841,444 ",86.91, 715 ," 85,161 ",65,,,,,,,
Chowchilla,Madera," 12,188,388 "," 11,325,552 ",93.25, 660 ," 18,465 ",31,,,,,,,
Madera,Madera," 52,760,145 "," 43,564,298 ",82.57, 876 ," 60,221 ",38,,,,,,,
Belvedere,Marin," 5,671,660 "," 5,465,860 ",96.37," 2,678 "," 2,118 ",195,,,,,,,
Corte Madera,Marin," 21,576,670 "," 20,849,491 ",96.63," 2,348 "," 9,191 ",22,,,,,,,
Fairfax,Marin," 8,438,478 "," 7,319,028 ",86.73," 1,139 "," 7,410 ",20,,,,,,,
Larkspur,Marin," 25,304,978 "," 23,912,791 ",95.33," 2,132 "," 11,870 ",35,,,,,,,
Mill Valley,Marin," 29,790,578 "," 27,875,234 ",93.87," 2,157 "," 13,810 ",28,,,,,,,
Novato,Marin," 42,462,181 "," 38,055,571 ",89.83, 829 ," 51,206 ",56,,,,,,,
Ross,Marin," 7,694,982 "," 5,520,551 ",71.74," 3,701 "," 2,079 ",205,,,,,,,
San Anselmo,Marin," 15,588,480 "," 14,219,006 ",94.89," 1,270 "," 12,273 ",28,,,,,,,
San Rafael,Marin," 79,979,236 "," 74,902,104 ",93.65," 1,394 "," 57,374 ",56,,,,,,,
Sausalito,Marin," 19,067,521 "," 18,377,904 ",96.43," 2,706 "," 7,047 ",21,,,,,,,
Tiburon,Marin," 9,498,920 "," 8,062,462 ",84.88," 1,068 "," 8,895 ",26,,,,,,,
Fort Bragg,Mendocino," 12,651,985 "," 10,191,887 ",80.56," 1,755 "," 7,211 ",35,,,,,,,
Point Arena,Mendocino," 1,008,486 "," 599,358 ",59.43," 2,297 ", 439 ,127,,,,,,,
Ukiah,Mendocino," 49,995,547 "," 46,254,625 ",92.77," 3,129 "," 15,979 ",24,,,,,,,
Willits,Mendocino," 12,399,051 "," 10,256,831 ",82.72," 2,532 "," 4,896 ",17,,,,,,,
